@relation gentil-rude
@attribute massa NUMERIC
@attribute altura NUMERIC
@attribute dentes {normais,afiados}
@attribute corolhos {escura, clara, vermelha}
@attribute gentil {S,N}
@data
109.32,1.77,afiados,escura,N
128.41,1.79,afiados,clara,N
121.93,2.17,normais,escura,S
129.14,1.77,afiados,escura,N
119.63,1.76,afiados,escura,N
166.01,2.05,afiados,clara,N
72.55,1.63,afiados,vermelha,N
113.14,2.21,normais,clara,S
55.46,2.33,afiados,clara,S
158.37,1.84,normais,escura,S
105.70,1.75,afiados,vermelha,N
100.58,2.16,normais,escura,S
59.31,1.62,normais,clara,S
105.42,1.81,afiados,vermelha,N
138.75,2.12,afiados,clara,N
170.56,2.20,normais,escura,S
140.21,1.75,normais,vermelha,N
51.82,1.99,afiados,vermelha,S
85.61,1.96,normais,escura,N
149.31,2.03,afiados,clara,N
72.82,1.65,normais,vermelha,N
109.87,2.24,normais,vermelha,N
60.51,1.95,normais,vermelha,S
164.10,1.93,afiados,escura,N
57.63,2.02,normais,clara,S
116.71,2.16,afiados,vermelha,N
143.77,1.58,normais,escura,S
157.54,2.19,normais,vermelha,N
151.11,2.00,normais,clara,S
94.10,2.13,normais,vermelha,S
98.94,1.51,afiados,clara,N
165.94,1.90,afiados,clara,N
59.57,2.10,normais,vermelha,S
87.61,2.04,normais,escura,S
88.38,2.37,afiados,clara,S
151.32,2.34,afiados,escura,N
134.61,2.19,normais,clara,S
80.11,1.99,afiados,vermelha,S
120.85,1.90,normais,escura,S
132.75,1.88,afiados,vermelha,N
177.97,1.89,normais,clara,S
99.08,2.13,normais,escura,S
114.24,2.05,afiados,vermelha,S
110.79,2.08,afiados,clara,N
61.37,2.14,afiados,clara,S
172.69,1.83,afiados,escura,N
172.12,2.26,afiados,vermelha,N
68.05,1.50,afiados,clara,N
84.20,2.08,normais,clara,S
128.70,1.68,afiados,escura,N
152.43,2.21,afiados,clara,N
132.04,2.05,normais,vermelha,N
175.83,2.07,normais,clara,S
134.49,1.70,normais,vermelha,N
131.58,1.53,afiados,vermelha,N
105.92,2.40,afiados,escura,N
62.39,1.88,normais,clara,S
78.07,1.56,afiados,escura,N
173.18,1.92,afiados,clara,N
137.28,1.83,afiados,clara,N
101.13,1.88,normais,vermelha,N
78.63,2.11,afiados,escura,N
96.48,1.85,afiados,escura,S
149.92,2.13,normais,vermelha,N
177.45,1.88,afiados,vermelha,N
153.11,1.82,afiados,escura,N
69.60,2.00,normais,clara,S
154.23,2.03,normais,escura,S
164.27,1.57,afiados,clara,N
79.49,2.15,afiados,clara,S
70.86,1.66,afiados,escura,N
112.81,1.59,afiados,escura,N
154.93,2.08,afiados,clara,N
132.43,1.68,afiados,vermelha,S
107.96,2.28,afiados,escura,N
77.36,2.34,normais,escura,S
57.13,2.17,afiados,escura,S
117.93,1.52,normais,escura,S
120.97,2.05,afiados,escura,N
59.16,1.70,afiados,clara,N
87.70,2.12,normais,escura,S
85.26,1.65,normais,vermelha,N
112.33,1.67,afiados,clara,N
73.03,1.51,normais,clara,S
81.39,2.17,normais,clara,S
144.32,1.87,normais,clara,S
78.72,1.85,afiados,clara,S
58.60,1.92,normais,clara,S
140.49,1.96,normais,escura,S
101.19,2.23,afiados,escura,N
136.22,2.02,normais,escura,S
157.91,2.40,afiados,escura,N
134.75,1.77,normais,clara,S
90.04,1.73,afiados,vermelha,N
78.94,2.19,afiados,clara,S
130.46,2.33,afiados,escura,N
97.36,2.15,afiados,vermelha,S
138.24,2.06,normais,vermelha,N
163.51,1.67,normais,escura,S
111.30,2.17,normais,escura,S
160.60,2.01,afiados,clara,N
152.29,1.70,afiados,escura,N
140.75,1.52,normais,vermelha,N
53.77,2.02,afiados,vermelha,S
91.28,1.98,normais,escura,S
108.21,1.60,afiados,escura,N
162.52,1.79,normais,escura,S
118.14,1.85,normais,vermelha,N
161.44,1.57,normais,escura,S
89.49,1.85,normais,clara,S
102.91,1.58,afiados,clara,N
61.23,2.11,normais,clara,S
50.88,2.18,normais,escura,S
146.91,1.81,normais,clara,S
72.18,2.34,afiados,vermelha,S
88.58,2.35,afiados,clara,S
56.55,1.86,normais,vermelha,S
167.25,1.87,afiados,vermelha,N
154.66,1.94,normais,vermelha,N
156.82,1.97,afiados,vermelha,N
142.41,2.19,afiados,escura,N
154.59,1.51,normais,vermelha,N
82.45,1.53,normais,clara,S
162.41,2.33,normais,vermelha,N
174.42,1.74,afiados,clara,N
59.29,1.86,afiados,escura,S
93.80,1.63,afiados,vermelha,N
124.09,2.24,normais,clara,S
85.73,2.00,afiados,vermelha,S
128.52,2.21,normais,escura,S
124.41,2.26,afiados,clara,N
135.05,2.14,normais,escura,S
153.58,2.16,normais,vermelha,N
145.45,1.89,normais,vermelha,N
102.95,1.55,normais,clara,S
89.54,1.68,normais,clara,N
142.21,1.98,afiados,vermelha,N
65.53,1.73,afiados,vermelha,N
113.89,2.25,normais,vermelha,N
120.50,2.16,normais,vermelha,N
102.37,2.06,afiados,vermelha,N
135.68,2.11,normais,vermelha,N
55.74,2.39,afiados,vermelha,S
104.19,2.01,normais,clara,S
132.12,2.03,afiados,clara,S
156.71,2.22,afiados,clara,N
162.61,2.29,normais,escura,S
141.01,1.76,normais,escura,S
150.42,2.17,normais,clara,S
108.10,2.20,afiados,vermelha,N
121.67,2.35,afiados,vermelha,N
78.79,1.69,afiados,clara,N
104.91,2.30,afiados,escura,N
147.30,1.90,normais,clara,S
74.62,2.15,afiados,clara,S
100.21,2.16,normais,clara,S
98.36,2.02,afiados,escura,S
166.66,1.85,afiados,escura,N
116.00,2.24,afiados,clara,N
144.80,2.33,afiados,escura,N
108.76,1.95,normais,clara,S
177.13,1.97,afiados,clara,N
54.39,2.37,normais,clara,S
150.28,2.12,normais,escura,S
86.92,1.86,normais,escura,S
134.90,2.32,normais,escura,S
83.23,1.74,normais,clara,S
61.95,2.05,normais,escura,S
64.72,2.36,afiados,escura,S
178.53,1.58,normais,vermelha,N
79.01,2.35,normais,escura,S
108.71,1.53,afiados,escura,N
50.84,2.23,normais,clara,S
164.78,2.06,afiados,escura,N
59.26,1.94,afiados,clara,S
162.93,1.99,normais,vermelha,N
104.61,2.15,normais,escura,S
175.35,2.04,afiados,clara,N
67.50,1.81,normais,clara,S
94.17,2.21,normais,escura,S
107.88,1.77,afiados,vermelha,N
100.63,1.66,normais,escura,S
70.06,2.29,afiados,escura,S
61.86,1.95,normais,escura,S
72.91,2.09,normais,vermelha,S
171.68,1.95,afiados,clara,N
129.39,2.19,normais,clara,S
61.01,2.14,afiados,escura,S
55.31,1.65,normais,vermelha,N
175.26,2.18,normais,escura,S
102.90,2.33,normais,escura,S
157.96,1.87,normais,vermelha,N
82.98,1.55,afiados,escura,N
78.94,2.19,normais,clara,S
170.22,2.25,afiados,clara,N
70.01,1.99,normais,clara,S
150.03,2.11,afiados,escura,N
156.53,2.33,normais,escura,S
58.05,2.13,afiados,clara,S
115.94,2.10,normais,vermelha,N
88.67,1.63,afiados,vermelha,N
53.73,2.04,afiados,vermelha,S
179.95,1.76,normais,escura,S
62.03,2.10,afiados,vermelha,S
96.08,1.72,normais,vermelha,N
177.73,1.92,normais,vermelha,N
54.99,2.21,afiados,clara,S
102.30,1.72,afiados,escura,N
114.89,1.61,normais,clara,S
74.47,2.30,afiados,clara,S
82.79,2.07,afiados,vermelha,S
74.88,1.50,normais,vermelha,N
139.79,1.87,normais,clara,S
110.86,2.01,normais,vermelha,N
171.49,1.89,normais,clara,S
106.77,1.60,normais,escura,S
121.24,1.81,afiados,clara,N
164.20,2.31,normais,escura,S
62.47,2.02,normais,clara,S
79.71,1.89,afiados,clara,S
159.98,2.05,afiados,escura,N
121.70,1.51,afiados,escura,N
79.02,1.85,afiados,escura,S
174.77,1.83,afiados,clara,N
50.35,1.99,normais,escura,S
108.68,1.82,normais,vermelha,N
65.45,2.01,afiados,escura,S
158.31,2.26,normais,clara,S
81.39,2.38,normais,escura,S
107.94,1.77,afiados,escura,N
172.79,1.94,afiados,escura,N
106.50,1.92,normais,escura,S
51.23,1.67,normais,vermelha,N
140.89,1.90,normais,vermelha,N
130.17,1.80,normais,vermelha,N
99.25,2.17,afiados,clara,S
95.43,2.08,normais,vermelha,S
77.09,1.58,normais,clara,S
146.76,1.86,normais,escura,S
166.87,1.92,normais,escura,S
74.08,1.61,normais,vermelha,N
118.93,1.63,afiados,vermelha,N
52.10,1.97,afiados,vermelha,S
149.96,1.69,afiados,clara,N
89.55,1.88,normais,vermelha,S
110.86,2.07,normais,vermelha,N
90.91,1.79,normais,clara,S
166.08,1.51,afiados,vermelha,N
99.10,1.77,afiados,clara,N
127.45,1.74,afiados,escura,N
137.96,1.98,afiados,clara,N
65.07,1.93,normais,escura,S
134.64,1.60,afiados,escura,N
53.31,1.57,normais,escura,S
52.06,1.56,afiados,clara,N
130.32,2.03,normais,escura,S
101.79,2.38,afiados,escura,N
145.25,1.93,normais,vermelha,N
76.52,2.34,afiados,vermelha,S
88.67,1.74,normais,clara,S
90.05,2.01,afiados,clara,S
170.01,1.64,normais,escura,S
85.97,1.68,normais,escura,S
104.86,1.69,normais,vermelha,N
149.65,1.74,afiados,vermelha,N
